Symbol,Name,Exchange,Last,Industry,SIC Description,Time,20D MA,50D MA,50D Avg Vol,52W %/High,20D Avg Vol,Prev Vol
TSEM,Tower Semiconductor,NASDAQ,48.67,Electronics - Semiconductors,SIC-3674 Semiconductors & Related Devices,4/5/2022,48.19,43.6,1657094,-0.86%,1072790,566000
TU,Telus Corp,NYSE,26.86,Diversified Comm Services,SIC-4812 Radiotelephone Communications,4/5/2022,25.91,25.18,1833724,-0.78%,1696440,1340800
TVTY,Tivity Health,NASDAQ,32.17,Medical Services,"SIC-8090 Services-Misc Health & Allied Services, NEC",4/5/2022,30.42,27.94,629588,-2.19%,894750,362500
UDR,United Dominion Realty Trust,NYSE,58.16,REIT - Equity Trust Resident,SIC-6798 Real Estate Investment Trusts,4/5/2022,57.32,56.39,1853734,-4.75%,2045075,1326400
UNH,Unitedhealth Group Inc,NYSE,517.76,Medical - HMO,SIC-6324 Hospital & Medical Service Plans,4/5/2022,504.74,487.57,3177616,-1.33%,3005450,2658000
UNM,Unumprovident Corp,NYSE,31.25,Insurance - Accident & Health,SIC-6321 Accident & Health Insurance,4/5/2022,29.93,28.45,2733120,-3.10%,2400580,2044000
VLO,Valero Energy Corp,NYSE,101.46,Oil - Refining and Marketing,SIC-2911 Petroleum Refining,4/5/2022,94.17,89.19,4619532,-1.73%,4463925,2668200
VNOM,Viper Energy LP,NASDAQ,30.81,Oil - US Exploration & Product,SIC-1311 Crude Petroleum & Natural Gas,4/5/2022,29.67,28.48,597444,-2.47%,461160,433000
VST,Vistra Energy Corp,NYSE,23.58,Utility - Electric Power,SIC-4911 Electric Services,4/5/2022,22.69,22.2,4389954,-0.84%,3881435,3590300
VTR,Ventas Inc,NYSE,61.6,REIT - Equity Trust Other,SIC-6798 Real Estate Investment Trusts,4/5/2022,60.52,55.77,2622688,-3.78%,2403045,2145200
WCN,Waste Connections Inc,NYSE,140.58,Waste Removal Svcs,SIC-4953 Refuse Systems,4/5/2022,136.67,128.95,1314752,-1.53%,1075610,983200
