Symbol,Name,Exchange,Last,Industry,SIC Description,Time,Previous,5D MA,20D MA,5D Avg Vol,20D Avg Vol,Volume,Prev Vol
SUNS,Slr Senior Investment Corp,NASDAQ,14.16,Finance - SBIC & Commercial,N/A,4/1/2022,14.08,14.03,13.76,37900,34280,33700,29300
SUPN,Supernus Pharm,NASDAQ,32.18,Medical - Generic Drugs,SIC-2834 Pharmaceutical Preparations,4/5/2022,31.89,32.19,31.54,443580,334000,475300,348900
SWAG,Software Acquisition Group Inc III Cl A,NASDAQ,10.01,Unclassified,N/A,4/5/2022,9.99,9.99,9.98,123000,92140,156300,111600
TEVA,Teva Pharmaceutical Industries Ltd ADR,NYSE,9.97,Medical - Generic Drugs,SIC-2834 Pharmaceutical Preparations,4/5/2022,9.89,9.6,8.38,13266740,8763740,14978200,12763500
TFFP,Tff Pharmaceuticals Inc,NASDAQ,7,Medical - Biomedical,SIC-2834 Pharmaceutical Preparations,4/5/2022,6.96,6.63,6.41,166660,127915,312700,156800
THCA,Tuscan Holdings Corp II,NASDAQ,12.71,Unclassified,SIC-6770 Blank Checks,4/5/2022,11.36,11.47,10.54,2216060,576180,3871500,1035500
TNDM,Tandem Diabetes Care,NASDAQ,120.72,Medical Instruments,SIC-3841 Surgical & Medical Instruments & Apparatus,4/5/2022,119.34,118.82,112.27,523880,472000,941500,553600
TRNO,Terreno Realty Corp,NYSE,76.32,REIT - Equity Trust Other,SIC-6500 Real Estate,4/5/2022,75.73,75.52,72.24,412240,356505,501700,258300
TSRI,T S R Inc,NASDAQ,10.1,Computer - Services,SIC-7371 Services-Computer Programming Services,4/5/2022,9.44,9.48,9.17,15840,6535,54000,3900
TT,Trane Technologies Plc,NYSE,154.75,Technology Services,SIC-3822 Auto Controls For Regulating Residential & C,4/5/2022,153.95,154.97,154.57,1636080,1462175,2070000,786500
TW,Tradeweb Markets Inc,NASDAQ,91.02,Finance - Investment Brokers,"SIC-6200 Security & Commodity Brokers, Dealers, Excha",4/5/2022,88.84,88.89,87.61,1119920,733215,1578200,457800
ULCC,Frontier Group Holdings Inc,NASDAQ,11.92,Transportation - Airline,"SIC-4512 Air Transportation, Scheduled",4/5/2022,11.47,11.52,11.22,3055860,2441575,8540700,1498000
UNH,Unitedhealth Group Inc,NYSE,517.76,Medical - HMO,SIC-6324 Hospital & Medical Service Plans,4/5/2022,510.02,514.23,504.74,3058280,3005450,3268600,2658000
VELO,Velocity Acquisition Corp Cl A,NASDAQ,9.78,Unclassified,SIC-5961 Retail-Catalog & Mail-Order Houses,4/5/2022,9.77,9.76,9.75,17600,11635,25400,19200
VIRT,Virtu Financial Cm A,NASDAQ,38.09,Finance - Misc Services,"SIC-6211 Security Brokers, Dealers & Flotation Compan",4/5/2022,37.4,37.67,35.86,1456100,1168475,1851200,1248800
VLAT,Valor Latitude Acquisition Corp Cl A,NASDAQ,9.75,Unclassified,N/A,4/5/2022,9.73,9.74,9.71,26320,18035,78100,33800
VNCE,Vince Holding Corp,NYSE,8.51,Textile - Apparel,SIC-5600 Retail-Apparel & Accessory Stores,4/5/2022,8.5,8.32,7.85,12680,9445,20400,9500
VRS,Verso Corp,NYSE,26.99,Paper & Related Products,N/A,3/30/2022,26.95,26.96,26.84,565140,466345,1394500,615100
VRTX,Vertex Pharmaceutic,NASDAQ,269.96,Medical - Biomedical,SIC-2834 Pharmaceutical Preparations,4/5/2022,268.64,264.45,252.29,1815920,1521820,1837900,1686100
VST,Vistra Energy Corp,NYSE,23.58,Utility - Electric Power,SIC-4911 Electric Services,4/5/2022,23.33,23.34,22.69,4745020,3881435,6805200,3590300
VWTR,Vidler Water Resources Inc,NASDAQ,16.35,Utility - Water Supply,SIC-6500 Real Estate,4/5/2022,16.19,15.75,13.39,214100,83970,262000,177100
WEL,Integrated Wellness Acquisition Cl A,NYSE,9.97,Unclassified,N/A,4/4/2022,9.95,9.96,9.95,180000,55510,619600,5300
WETF,Wisdomtree Investments Inc,NASDAQ,5.9,Finance - Investment Brokers,"SIC-6211 Security Brokers, Dealers & Flotation Compan",4/5/2022,5.86,5.84,5.55,1159240,864700,1595400,739100
WEX,Wex Inc,NYSE,175.17,Financial Transaction Services,"SIC-7389 Services-Business Services, NEC",4/5/2022,174.48,174.93,172.61,423940,398745,487000,388300
WKSP,Worksport Ltd,NASDAQ,3.25,Retail - Wsale Auto & Trucks,SIC-3714 Motor Vehicle Parts & Accessories,4/5/2022,2.86,2.75,2.37,217700,120390,624700,115800
WLK,Westlake Corp,NYSE,121.73,Chemical - Plastics,SIC-2860 Industrial Organic Chemicals,4/5/2022,121.46,123,122.2,689700,635175,1144700,649000
WQGA,World Quantum Growth Acquisition Corp Cl A,NYSE,9.9101,Unclassified,N/A,4/5/2022,9.89,9.9,9.88,38520,35720,10400,5100
WRB,W.R. Berkley Corp,NYSE,66.42,Insurance - Proprty & Casualty,"SIC-6331 Fire, Marine & Casualty Insurance",4/5/2022,65.96,66.67,64.8,1543640,1434368,1409100,1306100
WTRG,Essential Utilities Inc,NYSE,51.58,Utility - Water Supply,SIC-4941 Water Supply,4/5/2022,51.19,51.7,49.1,1219820,1056890,1101800,739900
XENE,Xenon Pharmaceuticals Inc,NASDAQ,35.16,Medical - Biomedical,SIC-2834 Pharmaceutical Preparations,4/5/2022,34.15,32.47,30.7,473740,465270,1036700,546300
