Symbol,Name,Exchange,Last,Industry,SIC Description,Time
CACC,Credit Acceptance,NASDAQ,537.85,Finance - Consumer Loans,SIC-6141 Personal Credit Institutions,4/28/2022
UNH,Unitedhealth Group Inc,NYSE,524.42,Medical - HMO,SIC-6324 Hospital & Medical Service Plans,4/28/2022
ANTM,Anthem Inc,NYSE,516.74,Medical - HMO,SIC-6324 Hospital & Medical Service Plans,4/28/2022
SIVB,Svb Financial Group,NASDAQ,515.32,Banks - West,SIC-6022 State Commercial Banks,4/28/2022
GWW,W.W. Grainger,NYSE,514.93,Industrial Services,SIC-5000 Wholesale-Durable Goods,4/28/2022
BIO,Bio-Rad Laboratories,NYSE,513.11,Medical Products,SIC-3826 Laboratory Analytical Instruments,4/28/2022
BIO.B,Bio Rad Labs Cl B,NYSE,507.99,Medical - Biomedical,N/A,4/27/2022
NOW,Servicenow Inc,NYSE,504.02,IT Services,SIC-7372 Services-Prepackaged Software,4/28/2022
CHE,Chemed Inc,NYSE,499.51,Medical - Outpatient & Hm Care,SIC-8082 Services-Home Health Care Services,4/28/2022
LRCX,Lam Research Corp,NASDAQ,484.49,Semi-Eqpt Wafer Fabrication,"SIC-3559 Special Industry Machinery, NEC",4/28/2022
ROP,Roper Industries,NYSE,483.39,Machinery - General Industrial,"SIC-3823 Industrial Instruments For Measurement, Disp",4/28/2022
CHTR,Charter Communicatio,NASDAQ,461.49,Cable TV,SIC-4841 Cable & Other Pay Television Services,4/28/2022
COKE,Coca Cola Bot Cons,NASDAQ,461,Beverages - Soft,SIC-2086 Bottled & Canned Soft Drinks & Carbonated Wa,4/28/2022
HUM,Humana Inc,NYSE,458.99,Medical - HMO,SIC-6324 Hospital & Medical Service Plans,4/28/2022
TDY,Teledyne Technologies Inc,NYSE,452.89,Aerospace - Defense Equipment,"SIC-3812 Search, Detection, Navigation, Guidance, Aer",4/28/2022
IDXX,Idexx Laboratories,NASDAQ,448.35,Medical Instruments,SIC-2835 In Vitro & In Vivo Diagnostic Substances,4/28/2022
NOC,Northrop Grumman Corp,NYSE,445.17,Aerospace - Defense,"SIC-3812 Search, Detection, Navigation, Guidance, Aer",4/28/2022
INTU,Intuit Inc,NASDAQ,444.58,Computer - Software,SIC-7372 Services-Prepackaged Software,4/28/2022
SHOP,Shopify Inc,NYSE,443.28,Internet - Services,SIC-7372 Services-Prepackaged Software,4/28/2022
LMT,Lockheed Martin Corp,NYSE,441.71,Aerospace - Defense,SIC-3760 Guided Missiles & Space Vehicles & Parts,4/28/2022
MSCI,MSCI Inc,NYSE,433.38,Business Software Services,"SIC-7389 Services-Business Services, NEC",4/28/2022
FDS,Factset Research Systems Inc,NYSE,419.37,Business Information,"SIC-7370 Services-Computer Programming, Data Processi",4/28/2022
POOL,Pool Corp,NASDAQ,417.66,Leisure & Recreational Prdcts,SIC-5090 Wholesale-Misc Durable Goods,4/28/2022
ULTA,Ulta Beauty Inc,NASDAQ,417.42,Retail - Misc & Diversified,"SIC-5990 Retail-Retail Stores, NEC",4/28/2022
DXCM,Dexcom,NASDAQ,413.23,Medical Instruments,SIC-3841 Surgical & Medical Instruments & Apparatus,4/28/2022
MPWR,Monolithic Power Sys,NASDAQ,412.49,Semi Analog & Mixed,SIC-3674 Semiconductors & Related Devices,4/28/2022
CTAS,Cintas Corp,NASDAQ,410.7,Uniform & Related,"SIC-2320 Mens & Boys Furnishings, Work Clothg, & Alli",4/28/2022
ADBE,Adobe Systems Inc,NASDAQ,410.53,Computer - Software,SIC-7372 Services-Prepackaged Software,4/28/2022
TYL,Tyler Technologies,NYSE,403.66,Business Software Services,SIC-7372 Services-Prepackaged Software,4/28/2022
MSTR,Microstrategy Cl A,NASDAQ,400.49,Computer - Software,SIC-7372 Services-Prepackaged Software,4/28/2022
PSA,Public Storage,NYSE,398.97,REIT - Equity Trust Other,SIC-6798 Real Estate Investment Trusts,4/28/2022
HUBS,Hubspot Inc,NYSE,398.48,Internet - Software,SIC-7372 Services-Prepackaged Software,4/28/2022
TECH,Bio-Techne Cp,NASDAQ,386.89,Medical - Biomedical,"SIC-2836 Biological Products, (No Disgnostic Substanc",4/28/2022
SPGI,S&P Global Inc,NYSE,386.55,Business Information,"SIC-7320 Services-Consumer Credit Reporting, Collecti",4/28/2022
FICO,Fair Isaac and Company,NYSE,385.38,IT Services,"SIC-7389 Services-Business Services, NEC",4/28/2022
DE,Deere & Company,NYSE,384.82,Machinery - Farm,SIC-3523 Farm Machinery & Equipment,4/28/2022
ZBRA,Zebra Technologies,NASDAQ,382.98,Machinery - Thermal Processing,SIC-3560 General Industrial Machinery & Equipment,4/28/2022
MA,Mastercard Inc,NYSE,378.83,Financial Transaction Services,"SIC-7389 Services-Business Services, NEC",4/28/2022
MDB,Mongodb Inc Cl A,NASDAQ,377.65,Internet - Software,SIC-7372 Services-Prepackaged Software,4/28/2022
SAM,Boston Beer Company,NYSE,377.22,Beverages - Alcohol,SIC-2082 Malt Beverages,4/28/2022
COO,Cooper Companies,NYSE,373.16,Medical - Dental Suppliers,SIC-3851 Ophthalmic Goods,4/28/2022
MLM,Martin Marietta Materials,NYSE,365.86,Building - CMT & CNT & AG,SIC-1400 Mining & Quarrying of Nonmetallic Minerals (,4/28/2022
LULU,Lululemon Athletica,NASDAQ,362.43,Textile - Apparel,SIC-2300 Apparel & Other Finished Prods of Fabrics &,4/28/2022
SBAC,SBA Communications,NASDAQ,359.24,REIT - Equity Trust Other,SIC-6798 Real Estate Investment Trusts,4/28/2022
DPZ,Domino's Pizza Inc,NYSE,353.88,Retail - Restaurants,SIC-5140 Wholesale-Groceries & Related Products,4/28/2022
RH,Restoration Hardware Holdings,NYSE,353,Retail - Home Furniture,SIC-5712 Retail-Furniture Stores,4/28/2022
ESS,Essex Property Trust,NYSE,345.11,REIT - Equity Trust Resident,SIC-6798 Real Estate Investment Trusts,4/28/2022
KLAC,K L A-Tencor Corp,NASDAQ,332.76,Electronics Products - Misc,SIC-3827 Optical Instruments & Lenses,4/28/2022
NEU,Newmarket Corp,NYSE,331.98,Chemical - Specialty,SIC-2860 Industrial Organic Chemicals,4/28/2022
BRK.B,Berkshire Hathaway Cl B,NYSE,331.27,Insurance - Proprty & Casualty,"SIC-6331 Fire, Marine & Casualty Insurance",4/28/2022
HIFS,Hingham Inst For Svg,NASDAQ,329.05,Banks - Northeast,"SIC-6036 Savings Institutions, Not Federally Chartere",4/28/2022
MCO,Moody's Corp,NYSE,326.6,Finance - Misc Services,"SIC-7320 Services-Consumer Credit Reporting, Collecti",4/28/2022
WST,West Pharmaceutical Services,NYSE,325.36,Medical - Dental Suppliers,"SIC-3060 Fabricated Rubber Products, NEC",4/28/2022
