Symbol,Name,Exchange,Last,Industry,"SIC Description",Time,"Sales %(q)","Sales %(a)","Cash Flow %(q)","Cash Flow %(q-1)","Shareholders Equity %(a)","Wtd Alpha"
HRMY,"Harmony Biosciences Holdings Inc",NASDAQ,45,"Medical - Biomedical","SIC-2834 Pharmaceutical Preparations","11:33 ET",+12.98%,+91.21%,+61.52%,+99.41%,+91.92%,+55.57
HSON,"Hudson Global",NASDAQ,33.13,Outsourcing,"SIC-7363 Services-Help Supply Services","10:51 ET",+11.22%,+66.79%,+198.81%,+159.57%,+14.70%,+75.47
ICL,"Israel Chemicals Ltd",NYSE,11.05,"Chemical - Specialty","SIC-2870 Agricultural Chemicals","11:32 ET",+13.85%,+37.91%,+47.71%,+60.94%,+15.85%,+63.32
IPI,"Intrepid Potash Inc",NYSE,82,Fertilizers,"SIC-1400 Mining & Quarrying of Nonmetallic Minerals (","11:28 ET",+21.44%,+37.26%,+33.07%,+15.51%,+61.31%,+103.65
JOE,"St. Joe Company",NYSE,54.6,"Real Estate Developers","SIC-6552 Land Subdividers & Developers (No Cemeteries","11:29 ET",+84.26%,+66.29%,+71.66%,+37.99%,+10.20%,+20.53
KIM,"Kimco Realty Corp",NYSE,25.6,"REIT - Equity Trust Retail","SIC-6798 Real Estate Investment Trusts","11:34 ET",+15.20%,+28.99%,+48.32%,+42.09%,+78.30%,+22.00
KNSL,"Kinsale Capital Group Inc",NYSE,224.83,"Insurance - Proprty & Casualty","SIC-6331 Fire, Marine & Casualty Insurance","11:33 ET",+11.35%,+39.12%,+34.84%,+54.85%,+21.36%,+30.83
LAND,"Gladstone Land Corp",NASDAQ,37.78,"REIT - Equity Trust Other","SIC-6798 Real Estate Investment Trusts","11:34 ET",+16.39%,+32.07%,+59.04%,+19.98%,+53.49%,+82.04
LLY,"Eli Lilly and Company",NYSE,293.29,"Large Cap Pharma","SIC-2834 Pharmaceutical Preparations","11:34 ET",+18.12%,+15.40%,+42.25%,+46.97%,+57.16%,+52.91
LPI,"Laredo Petroleum Holdings Inc",NYSE,72.56,"Oil - US Exploration & Product","SIC-1311 Crude Petroleum & Natural Gas","11:30 ET",+23.99%,+105.86%,+72.99%,+52.96%,"+2,496.36%",+26.73
