Symbol,Name,Exchange,Last,Industry,"SIC Description",Time,Trend,"20D Avg Vol","52W %/High","20D MA","50D MA","100D MA","Market Cap"
SHG,"Shinhan Financial Group Co. Ltd ADR",NYSE,32.65,"Banks - Foreign","SIC-6021 National Commercial Banks","10:11 ET",Buy,119439,-16.65%,32.97,32.38,32.34,16897984000
SHO,"Sunstone Hotel Investors",NYSE,12.42,"REIT - Equity Trust Other","SIC-7011 Hotels & Motels","10:26 ET",Buy,2846978,-10.89%,11.86,11.47,11.46,2688765000
SJT,"San Juan Basin Royalty Trust",NYSE,10.49,"Oil - US Royalty Trusts","SIC-6792 Oil Royalty Traders","10:11 ET",Buy,812949,-14.51%,9.94,8.39,7.44,494998000
SLAC,"Social Leverage Acquisition Corp I Cl A",NYSE,9.82,Unclassified,"SIC-6770 Blank Checks",2022-05-02,Buy,47540,-1.80%,9.81,9.78,9.76,422629000
SLAM,"Slam Corp Cl A",NASDAQ,9.81,Unclassified,"SIC-6770 Blank Checks",2022-05-02,Buy,249021,-1.31%,9.81,9.77,9.75,705045000
SLCR,"Silver Crest Acquisition Corp Cl A",NASDAQ,9.84,Unclassified,"SIC-6770 Blank Checks",2022-05-02,Buy,61676,-1.11%,9.84,9.83,9.82,424301000
SLVM,"Sylvamo Corp",NYSE,44.92,"Paper & Related Products","SIC-2621 Paper Mills","10:22 ET",Buy,372337,-0.51%,38.54,36.05,33.49,1962591000
SMPL,"The Simply Good Foods Company",NASDAQ,40.92,"Food - Confectionery","SIC-2000 Food and Kindred Products","10:26 ET",Buy,803009,-10.68%,41.92,39.33,38.6,4180411000
SNRH,"Senior Connect Acquisition Corp I Cl A",NASDAQ,9.86,Unclassified,"SIC-6770 Blank Checks",2022-05-02,Buy,150636,-0.70%,9.84,9.81,9.79,509220000
SPGS,"Simon Property Group Acquisition Cl A",NYSE,9.84,Unclassified,"SIC-6770 Blank Checks","09:47 ET",Buy,25007,-1.80%,9.8,9.77,9.75,422625000
SPKB,"Silver Spike Acquisition Corp II Cl A",NASDAQ,9.82,Unclassified,"SIC-6770 Blank Checks",2022-04-29,Buy,70655,-2.29%,9.81,9.79,9.78,352833000
SRRA,"Sierra Oncology Inc",NASDAQ,54.54,"Medical - Drugs","SIC-2834 Pharmaceutical Preparations","10:34 ET",Buy,1200240,-0.85%,48.71,38.86,31.66,1289979000
SSAA,"Science Strategic Acquisition Corp Alpha Cl A",NASDAQ,9.81,Unclassified,"SIC-6770 Blank Checks",2022-04-29,Buy,37395,-0.41%,9.8,9.78,9.77,380726000
STER,"Sterling Check Corp",NASDAQ,26.35,"Technology Services","SIC-7374 Services-Computer Processing & Data Preparat","10:24 ET",Buy,261090,-8.85%,25.67,23.81,22.08,2501744000
STNG,"Scorpio Tankers Inc",NYSE,25.61,"Transportation - Ship","SIC-4412 Deep Sea Foreign Transportation of Freight","10:34 ET",Buy,961907,-0.61%,22.38,20.13,16.81,1443490000
SU,"Suncor Energy Inc",NYSE,35.82,"Oil - C$ Integrated","SIC-2911 Petroleum Refining","10:26 ET",Buy,6478146,-4.71%,33.46,32.22,29.54,51435636000
SWET,"Athlon Acquisition Corp Cl A",NASDAQ,9.82,Unclassified,"SIC-6770 Blank Checks",2022-04-29,Buy,32035,-0.30%,9.82,9.78,9.77,338790000
SWX,"Southwest Gas Corp",NYSE,87.52,"Utility - Gas Distribution","SIC-4923 Natural Gas Transmission & Distribution","10:32 ET",Buy,611353,-3.05%,84.88,78.44,73.11,5332769000
SYY,"Sysco Corp",NYSE,85.88,"Food - Misc & Diversified","SIC-5140 Wholesale-Groceries & Related Products","10:34 ET",Buy,2237303,-6.03%,86.32,83.73,80.97,43821836000
TALO,"Talos Energy Inc",NYSE,18.41,"Oil - US Exploration & Product",,"10:22 ET",Buy,1007258,-10.87%,18.47,16.79,13.73,1499370000
TAP,"Molson Coors Brewing Company",NYSE,54.46,"Beverages - Alcohol","SIC-2082 Malt Beverages","10:26 ET",Buy,1289090,-10.82%,53.88,52.65,50.27,11747460000
TETC,"Tech and Energy Transition Corp Cl A",NASDAQ,9.78,Unclassified,"SIC-6770 Blank Checks",2022-04-29,Buy,101025,-5.05%,9.78,9.74,9.73,470614000
TGA,"Transglobe Energy Cp",NASDAQ,4.34,"Oil - C$ Exploration & Product","SIC-1311 Crude Petroleum & Natural Gas","10:32 ET",Buy,975771,-15.43%,4.33,3.92,3.5,318027000
TH,"Target Hospitality Corp",NASDAQ,6.53,"Leisure & Recreation Services","SIC-7000 Hotels, Rooming Houses, Camps & Other Lodgin","10:31 ET",Buy,434784,-13.24%,6.05,5.22,4.26,638226000
TIOA,"Tio Tech A Cl A",NASDAQ,9.81,Unclassified,"SIC-6770 Blank Checks",2022-04-29,Buy,55750,-1.60%,9.8,9.75,9.74,422026000
TLK,"P.T. Telekomunikasi Indonesia Tbk ADR",NYSE,31.66,"Diversified Comm Services","SIC-4813 Telephone Communications (No Radiotelephone)","10:34 ET",Buy,291643,-4.83%,32.01,31.57,30.43,28657728000
TMX,"Terminix Global Hldgs Inc",NYSE,45.99,"Industrial Services","SIC-8741 Services-Management Services","10:34 ET",Buy,597737,-14.27%,45.74,44.27,43.61,5575360000
TRMD,"Torm Plc Cl A",NASDAQ,10.07,"Transportation - Ship","SIC-4412 Deep Sea Foreign Transportation of Freight","10:33 ET",Buy,406632,-9.75%,9.33,8.66,8.18,725618000
TSN,"Tyson Foods",NYSE,93.91,"Food - Meat Products",,"10:33 ET",Buy,1764738,-7.06%,93.94,91.48,90.76,33767336000
TSPQ,"Tcw Special Purpose Acquisition Corp Cl A",NYSE,9.78,Unclassified,"SIC-6770 Blank Checks",2022-04-29,Buy,55710,-2.20%,9.77,9.74,9.73,567162000
TUFN,"Tufin Software Technologies Ltd",NYSE,12.86,"Technology Services","SIC-7373 Services-Computer Integrated Systems Design","10:34 ET",Buy,1276191,-4.59%,12.53,10.32,9.74,474333000
TVTY,"Tivity Health",NASDAQ,32.09,"Medical Services","SIC-8090 Services-Misc Health & Allied Services, NEC","10:34 ET",Buy,1514594,-2.27%,32.21,30.44,27.84,1600813000
TWI,"Titan International",NYSE,13.64,"Machinery - Farm","SIC-3312 Steel Works, Blast Furnaces & Rolling Mills","10:32 ET",Buy,378465,-12.87%,14.06,13.43,11.71,868426000
TWNI,"Tailwind International Acquisition Corp Cl A",NYSE,9.83,Unclassified,"SIC-6770 Blank Checks",2022-04-29,Buy,166085,-0.61%,9.82,9.78,9.75,423919000
TWNK,"Hostess Brands Inc",NASDAQ,22.67,"Food - Confectionery","SIC-2050 Bakery Products","10:34 ET",Buy,1248685,-6.96%,22.87,21.92,20.98,3144040000
TZPS,"Tzp Strategies Acquisition Corp Cl A",NASDAQ,9.9,Unclassified,"SIC-6770 Blank Checks",2022-05-02,Buy,95290,0.00%,9.83,9.79,9.77,353192000
UAN,"Cvr Partners LP",NYSE,149.8,Fertilizers,"SIC-2870 Agricultural Chemicals","10:28 ET",Buy,142132,-17.33%,151.98,131.66,111.3,1596381000
UNTY,"Unity Bancorp Inc",NASDAQ,28.98,"Banks - Northeast","SIC-6022 State Commercial Banks","10:32 ET",Buy,31987,-8.96%,28.47,28.31,28.08,301713000
UONEK,"Urban One Inc",NASDAQ,6.06,"Broadcast - Radio & TV","SIC-4832 Radio Broadcasting Stations","10:12 ET",Buy,85450,-19.63%,6,5.14,4.51,310100000
USFD,"US Foods Holding",NYSE,37.74,"Food - Misc & Diversified",,"10:34 ET",Buy,1977288,-9.59%,37.16,36.89,36.07,8393661000
USPH,"U.S. Physical Therapy",NYSE,105.04,"Medical - Outpatient & Hm Care","SIC-8000 Services-Health Services","10:29 ET",Buy,72678,-15.19%,103.36,98.72,97.19,1348076000
UTI,"Universal Technical Institute Inc",NYSE,10.21,Schools,"SIC-8200 Services-Educational Services","10:27 ET",Buy,204902,-9.72%,9.56,9.01,8.43,341569000
UTL,"Unitil Corp",NYSE,51.52,"Utility - Electric Power","SIC-4931 Electric & Other Services Combined","10:31 ET",Buy,64259,-13.65%,51.5,51.11,48.8,816816000
VGII,"Virgin Group Acquisition Corp II Cl A",NYSE,9.91,"Consumer Prdts - Misc Staple","SIC-5961 Retail-Catalog & Mail-Order Houses",2022-05-02,Buy,116495,-6.07%,9.92,9.88,9.87,499105000
VLO,"Valero Energy Corp",NYSE,115.39,"Oil - Refining and Marketing","SIC-2911 Petroleum Refining","10:34 ET",Buy,4292680,-1.59%,105.67,96.29,88.01,45629208000
