Symbol,Name,Exchange,Last,Industry,"SIC Description",Time
BLD,"Topbuild Corp",NYSE,183.08,"Building & Construction - Misc","SIC-1700 Construction - Special Trade Contractors","12:32 ET"
EXR,"Extra Space Storage Inc",NYSE,183.01,"REIT - Equity Trust Other","SIC-6798 Real Estate Investment Trusts","12:32 ET"
CCI,"Crown Castle International Corp",NYSE,182.98,"REIT - Equity Trust Other","SIC-6798 Real Estate Investment Trusts","12:32 ET"
WDFC,"W D 40 Company",NASDAQ,182.78,"Consumer Prdts - Misc Staple","SIC-2890 Miscellaneous Chemical Products","12:20 ET"
AIZ,"Assurant Inc",NYSE,180.87,"Insurance - Multi Line","SIC-6399 Insurance Carriers, NEC","12:33 ET"
CCMP,"Cabot Microelectron",NASDAQ,180.15,"Electronics Products - Misc","SIC-3674 Semiconductors & Related Devices","12:33 ET"
EGP,"Eastgroup Properties",NYSE,179.77,"REIT - Equity Trust Other","SIC-6798 Real Estate Investment Trusts","12:32 ET"
JNJ,"Johnson & Johnson",NYSE,179.23,"Large Cap Pharma","SIC-2834 Pharmaceutical Preparations","12:33 ET"
UPS,"United Parcel Service",NYSE,179.04,"Transportation - Air Freight","SIC-4210 Trucking & Courier Services (No Air)","12:33 ET"
AVY,"Avery Dennison Corp",NYSE,178.62,"Office Supply & Forms","SIC-2670 Converted Paper & Paperboard Prods (No Conta","12:32 ET"
BILL,"Bill.com Holdings Inc",NYSE,178.38,"Internet - Software","SIC-7372 Services-Prepackaged Software","12:32 ET"
SITM,"Sitime Corp",NASDAQ,178.05,"Electronics Products - Misc","SIC-3674 Semiconductors & Related Devices","12:32 ET"
UTHR,"United Therapeutic",NASDAQ,177.28,"Medical - Drugs","SIC-2834 Pharmaceutical Preparations","12:22 ET"
MAR,"Marriot Int Cl A",NASDAQ,177.15,"Hotels & Motels","SIC-7011 Hotels & Motels","12:32 ET"
VRSN,"Verisign Inc",NASDAQ,176.69,"Internet Software Services","SIC-7371 Services-Computer Programming Services","12:32 ET"
ARE,"Alexandria Real Estate Equities",NYSE,176.65,"REIT - Equity Trust Other","SIC-6798 Real Estate Investment Trusts","12:32 ET"
CRM,"Salesforce Inc",NYSE,176.44,"Computer - Software","SIC-7372 Services-Prepackaged Software","12:33 ET"
PEN,"Penumbra Inc",NYSE,176.34,"Medical Instruments","SIC-3841 Surgical & Medical Instruments & Apparatus","12:20 ET"
GPI,"Group 1 Automotive",NYSE,175.29,"Retail - Wsale Auto & Trucks","SIC-5500 Retail-Auto Dealers & Gasoline Stations","12:30 ET"
ZTS,"Zoetis Inc Cl A",NYSE,173.93,"Medical - Drugs","SIC-2834 Pharmaceutical Preparations","12:32 ET"
EXPE,"Expedia Group Inc",NASDAQ,173.78,"Internet Commerce","SIC-4700 Transportation Services","12:32 ET"
SNOW,"Snowflake Inc Cl A",NYSE,173.67,"Internet - Software","SIC-7372 Services-Prepackaged Software","12:33 ET"
MED,"Medifast Inc",NYSE,173.64,"Food - Misc & Diversified","SIC-2090 Miscellaneous Food Preparations & Kindred Pr","12:29 ET"
NXPI,"Nxp Semiconductors",NASDAQ,173.59,"Semi Analog & Mixed","SIC-3674 Semiconductors & Related Devices","12:33 ET"
AYI,"Acuity Brands Inc",NYSE,172.01,"Building Products - Ltg FX","SIC-3640 Electric Lighting & Wiring Equipment","12:33 ET"
VMC,"Vulcan Materials Company",NYSE,171.95,"Building - CMT & CNT & AG","SIC-1400 Mining & Quarrying of Nonmetallic Minerals (","12:32 ET"
